Index,Producer,Wine Name,Year,Price,Size (ml),Score,Link
822,ST. INNOCENT,Pinot Noir Yamhill-Carlton District Shea Vineyard,2016,55.00,750,93.00,https://www.winespectator.com/wine/detail/source/search/note_id/1245431
823,ST. INNOCENT,Pinot Noir Yamhill-Carlton District Shea Vineyard,2010,45.00,750,93.00,https://www.winespectator.com/wine/detail/source/search/note_id/334843
824,STEPHEN GOFF,Pinot Noir Willamette Valley,2015,32.00,750,93.00,https://www.winespectator.com/wine/detail/source/search/note_id/442332
825,STEPHEN GOFF,Pinot Noir Yamhill-Carlton District Shea Vineyard,2012,48.00,750,93.00,https://www.winespectator.com/wine/detail/source/search/note_id/394739
826,STOLLER,Chardonnay Dundee Hills Reserve,2018,40.00,750,93.00,https://www.winespectator.com/wine/detail/source/search/note_id/1272390
827,STOLLER,Pinot Noir Dundee Hills,2016,30.00,750,93.00,https://www.winespectator.com/wine/detail/source/search/note_id/463022
828,STOLLER,Pinot Noir Dundee Hills Cathy's,2010,100.00,750,93.00,https://www.winespectator.com/wine/detail/source/search/note_id/349744
829,STOLLER,Pinot Noir Dundee Hills Helen's,2017,75.00,750,93.00,https://www.winespectator.com/wine/detail/source/search/note_id/1260780
830,STOLLER,Pinot Noir Dundee Hills Helen's,2016,70.00,750,93.00,https://www.winespectator.com/wine/detail/source/search/note_id/1245071
831,STOLLER,Pinot Noir Dundee Hills Reserve,2018,50.00,750,93.00,https://www.winespectator.com/wine/detail/source/search/note_id/1272391
832,TENDRIL,Chardonnay Willamette Valley,2012,40.00,750,93.00,https://www.winespectator.com/wine/detail/source/search/note_id/380192
833,TENDRIL,Pinot Noir Willamette Valley,2010,48.00,750,93.00,https://www.winespectator.com/wine/detail/source/search/note_id/349747
834,TENDRIL,Pinot Noir Willamette Valley TightRope,2012,64.00,750,93.00,https://www.winespectator.com/wine/detail/source/search/note_id/380193
835,TENDRIL,Pinot Noir Willamette Valley Tightrope,2010,64.00,750,93.00,https://www.winespectator.com/wine/detail/source/search/note_id/356192
836,THE FOUR GRACES,Pinot Noir Dundee Hills Reserve,2016,45.00,750,93.00,https://www.winespectator.com/wine/detail/source/search/note_id/1231503
837,THE FOUR GRACES,Pinot Noir Willamette Valley,2017,30.00,750,93.00,https://www.winespectator.com/wine/detail/source/search/note_id/1231502
838,THE FOUR GRACES,Pinot Noir Willamette Valley,2015,32.00,750,93.00,https://www.winespectator.com/wine/detail/source/search/note_id/447265
839,THE FOUR GRACES,Pinot Noir Yamhill-Carlton District Doe Ridge Estate,2010,75.00,750,93.00,https://www.winespectator.com/wine/detail/source/search/note_id/357151
840,TOIL OREGON,Pinot Noir Willamette Valley,2015,50.00,750,93.00,https://www.winespectator.com/wine/detail/source/search/note_id/436632
841,TORII MOR,Pinot Noir Willamette Valley Deux Verres Reserve,2005,45.00,750,93.00,https://www.winespectator.com/wine/detail/source/search/note_id/229583
842,TRISAETUM,Pinot Noir Dundee Hills Wichmann Dundee Estate,2016,49.00,750,93.00,https://www.winespectator.com/wine/detail/source/search/note_id/461021
843,TRISAETUM,Pinot Noir Ribbon Ridge Ribbon Ridge Estate,2013,49.00,750,93.00,https://www.winespectator.com/wine/detail/source/search/note_id/400791
844,TRISAETUM,Pinot Noir Willamette Valley,2006,75.00,750,93.00,https://www.winespectator.com/wine/detail/source/search/note_id/242452
845,TRISAETUM,Pinot Noir Willamette Valley Estates Reserve,2016,69.00,750,93.00,https://www.winespectator.com/wine/detail/source/search/note_id/458717
846,TWELVE,Pinot Noir Yamhill-Carlton District Reserve,2012,40.00,750,93.00,https://www.winespectator.com/wine/detail/source/search/note_id/379781
847,WALTER SCOTT,Pinot Noir Eola-Amity Hills Seven Springs,2014,55.00,750,93.00,https://www.winespectator.com/wine/detail/source/search/note_id/420782
848,WALTER SCOTT,Pinot Noir Willamette Valley Cuvée Ruth,2014,40.00,750,93.00,https://www.winespectator.com/wine/detail/source/search/note_id/420783
849,WASSON BROS.,Pinot Noir Oregon,1985,55.00,750,93.00,https://www.winespectator.com/wine/detail/source/search/note_id/99266
850,WHITE ROSE,Pinot Noir Dundee Hills Durant Vineyard,2012,60.00,750,93.00,https://www.winespectator.com/wine/detail/source/search/note_id/380194
851,WHITE ROSE,Pinot Noir Willamette Valley,2014,40.00,750,93.00,https://www.winespectator.com/wine/detail/source/search/note_id/426486
852,WILDAIRE,Pinot Noir Willamette Valley Timothy,2012,25.00,750,93.00,https://www.winespectator.com/wine/detail/source/search/note_id/397857
853,WILLAKENZIE,Pinot Noir Willamette Valley Thibaud's Cuvée,2008,38.00,750,93.00,https://www.winespectator.com/wine/detail/source/search/note_id/301012
854,WILLAKENZIE,Pinot Noir Yamhill-Carlton District Triple Black Slopes,2012,65.00,750,93.00,https://www.winespectator.com/wine/detail/source/search/note_id/394461
855,WILLAMETTE VALLEY VINEYARDS,Viognier Willamette Valley Late Harvest,1997,20.00,375,93.00,https://www.winespectator.com/wine/detail/source/search/note_id/73848
856,WINDERLEA,Pinot Noir Dundee Hills Dundee Hills Vineyards,2012,38.00,750,93.00,https://www.winespectator.com/wine/detail/source/search/note_id/380195
857,Z'IVO,Pinot Noir Eola-Amity Hills,2008,36.00,750,93.00,https://www.winespectator.com/wine/detail/source/search/note_id/289553
858,ZENA CROWN VINEYARD,Pinot Noir Eola-Amity Hills Block 14 Single Vineyard,2013,100.00,750,93.00,https://www.winespectator.com/wine/detail/source/search/note_id/415580
859,ZENA CROWN VINEYARD,Pinot Noir Eola-Amity Hills Slope Single Vineyard,2013,100.00,750,93.00,https://www.winespectator.com/wine/detail/source/search/note_id/415581
860,ZENA CROWN VINEYARD,Pinot Noir Eola-Amity Hills The Sum,2016,75.00,750,93.00,https://www.winespectator.com/wine/detail/source/search/note_id/1243647
861,ZENA CROWN VINEYARD,Pinot Noir Eola-Amity Hills Vista,2016,75.00,750,93.00,https://www.winespectator.com/wine/detail/source/search/note_id/1243646
862,ABERRANT,Pinot Noir Yamhill-Carlton District Amplus Gran Moraine Vineyard,2012,45.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/379783
863,ADELSHEIM,Pinot Noir Chehalem Mountains Boulder Bluff Vineyard,2015,75.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/464094
864,ADELSHEIM,Pinot Noir Chehalem Mountains Bryan Creek Vineyard,2010,75.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/334833
865,ADELSHEIM,Pinot Noir Chehalem Mountains Bryan Creek Vineyard,2005,50.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/230364
866,ADELSHEIM,Pinot Noir Chehalem Mountains Calkins Lane Vineyard,2012,75.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/378334
867,ADELSHEIM,Pinot Noir Chehalem Mountains Calkins Lane Vineyard,2008,68.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/291185
868,ADELSHEIM,Pinot Noir Chehalem Mountains Calkins Lane Vineyard,2005,50.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/230365
869,ADELSHEIM,Pinot Noir Chehalem Mountains Nicholas Vineyard,2013,105.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/410590
870,ADELSHEIM,Pinot Noir Eola-Amity Hills Temperance Hill Vineyard,2012,75.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/378337
871,ADELSHEIM,Pinot Noir Ribbon Ridge Ribbon Springs Vineyard,2014,75.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/438005
872,ADELSHEIM,Pinot Noir Willamette Valley,2014,32.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/416028
873,ADELSHEIM,Pinot Noir Willamette Valley,2012,32.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/378340
874,ADELSHEIM,Pinot Noir Willamette Valley Elizabeth's Reserve,2008,48.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/277674
875,ALEXANA,Chardonnay Willamette Valley Signature,2017,65.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/1269686
876,ALEXANA,Chardonnay Willamette Valley Signature,2016,65.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/1240093
877,ALEXANA,Chardonnay Willamette Valley Terroir Selection,2013,40.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/405895
878,ALEXANA,Pinot Noir Dundee Hills,2008,38.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/289549
879,ALEXANA,Pinot Noir Dundee Hills Revana Vineyard,2017,55.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/1242615
880,ALEXANA,Pinot Noir Dundee Hills Revana Vineyard,2012,48.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/380198
881,ALEXANA,Pinot Noir Dundee Hills Revana Vineyard Block 6 - Wädenswil,2014,125.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/425563
882,ALEXANA,Pinot Noir Dundee Hills Revana Vineyard Block 7,2010,125.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/335902
883,ALEXANA,Pinot Noir Dundee Hills Revana Vineyard Single Clone Pommard,2012,85.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/378473
884,ALEXANA,Pinot Noir Dundee Hills Signature,2017,74.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/1267819
885,ALEXANA,Pinot Noir Dundee Hills West Blocks - Sedimentary Soils,2014,65.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/416029
886,ALEXANA,Pinot Noir Dundee Hills West Blocks Sedimentary Soils,2018,65.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/1269697
887,ALEXANA,Pinot Noir Eola-Amity Hills Zena Crown Vineyard,2015,65.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/443644
888,ALEXANA,Pinot Noir Willamette Valley Shea Vineyard,2008,75.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/290275
889,ALEXANA,Pinot Noir Willamette Valley Terroir Series,2017,35.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/1244830
890,ALLORO,Pinot Noir Chehalem Mountains,2015,40.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/1228581
891,ALLORO,Pinot Noir Chehalem Mountains,2010,35.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/328352
892,ALLORO,Pinot Noir Chehalem Mountains Justina,2016,95.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/1245562
893,AMITY,Pinot Noir Willamette Valley Amity Estate Single Vineyard,2008,35.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/292271
894,AMITY,Pinot Noir Willamette Valley Bass Hill Single Vineyard,2008,35.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/295678
895,ANAM CARA CELLARS,Pinot Noir Chehalem Mountains Nicholas Vineyard,2016,39.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/1230811
896,ANAM CARA CELLARS,Pinot Noir Chehalem Mountains Nicholas Vineyard,2015,37.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/447279
897,ANAM CARA CELLARS,Pinot Noir Chehalem Mountains Nicholas Vineyard,2014,37.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/426612
898,ANAM CARA CELLARS,Pinot Noir Chehalem Mountains Nicholas Vineyard Reserve,2016,53.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/1230810
899,ANAM CARA CELLARS,Pinot Noir Chehalem Mountains Nicholas Vineyard Reserve,2014,49.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/430055
900,AND WINE COMPANY,Pinot Noir Yamhill-Carlton District,2014,40.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/429165
901,ANDREW RICH,Gewürztraminer Oregon-Washington Les Vigneaux,2001,20.00,375,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/126994
902,ANDREW RICH,Gewürztraminer Willamette Valley Les Vigneaux,1996,15.00,375,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/55372
903,ANDREW RICH,Pinot Noir Eola-Amity Hills,2017,45.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/1267748
904,ANDREW RICH,Pinot Noir Eola-Amity Hills,2016,45.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/1239057
905,ANDREW RICH,Pinot Noir Willamette Valley,2002,28.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/155968
906,ANDREW RICH,Pinot Noir Willamette Valley Marine Sedimentary,2017,45.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/1267746
907,ANDREW RICH,Pinot Noir Willamette Valley Volcanic,2017,45.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/1267749
908,ANDREW RICH,Pinot Noir Willamette Valley Volcanic,2016,45.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/1239060
909,ANNE AMIE,Pinot Noir Chehalem Mountains Twelve Oaks Estate,2013,45.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/406402
910,ANTICA TERRA,Chardonnay Willamette Valley Aurata,2012,75.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/380199
911,ANTICA TERRA,Pinot Noir Willamette Valley Botanica,2016,110.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/1246283
912,ANTICA TERRA,Pinot Noir Willamette Valley Botanica,2012,75.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/380200
913,ARBOR BROOK,Pinot Noir Chehalem Mountains Estate 777 Block,2011,45.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/359802
914,ARBOR BROOK,Pinot Noir Chehalem Mountains Heritage Cuvée,2014,30.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/427238
915,ARCHERY SUMMIT,Chardonnay Eola-Amity Hills,2018,48.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/1269980
916,ARCHERY SUMMIT,Chardonnay Eola-Amity Hills,2017,48.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/1241730
917,ARCHERY SUMMIT,Pinot Noir Dundee Hills,2018,65.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/1248060
918,ARCHERY SUMMIT,Pinot Noir Dundee Hills Archery Summit Estate,2010,150.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/333745
919,ARCHERY SUMMIT,Pinot Noir Dundee Hills Archery Summit Estate,2009,150.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/312897
920,ARCHERY SUMMIT,Pinot Noir Dundee Hills Arcus Vineyard,2017,125.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/1244540
921,ARCHERY SUMMIT,Pinot Noir Dundee Hills Arcus Vineyard,2016,125.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/463428
922,ARCHERY SUMMIT,Pinot Noir Dundee Hills Red Hills Estate,2014,100.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/424202
923,ARCHERY SUMMIT,Pinot Noir Dundee Hills Red Hills Estate,2012,85.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/380201
924,ARCHERY SUMMIT,Pinot Noir Dundee Hills Red Hills Estate,2008,85.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/290614
925,ARCHERY SUMMIT,Pinot Noir Dundee Hills Renegade Ridge Estate,2012,85.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/380202
926,ARCHERY SUMMIT,Pinot Noir Dundee Hills Renegade Ridge Vineyard,2018,90.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/1269978
927,ARCHERY SUMMIT,Pinot Noir Dundee Hills Summit Vineyard,2017,150.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/1267039
928,ARCHERY SUMMIT,Pinot Noir Oregon Archery Summit Estate,2002,150.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/156609
929,ARCHERY SUMMIT,Pinot Noir Oregon Arcus Estate,2002,75.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/156610
930,ARCHERY SUMMIT,Pinot Noir Oregon Arcus Estate,1998,65.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/82690
931,ARCHERY SUMMIT,Pinot Noir Oregon Premier Cuvée,1998,39.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/254355
932,ARCHERY SUMMIT,Pinot Noir Oregon Red Hills Estate,2000,75.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/126989
933,ARCHERY SUMMIT,Pinot Noir Oregon Red Hills Estate,1999,75.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/99014
934,ARCHERY SUMMIT,Pinot Noir Oregon Renegade Ridge Estate,2000,60.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/126990
935,ARCHERY SUMMIT,Pinot Noir Ribbon Ridge Looney Vineyard,2006,85.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/251166
936,ARCHERY SUMMIT,Pinot Noir Willamette Valley,2017,45.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/1232502
937,ARCHERY SUMMIT,Pinot Noir Willamette Valley Archery Summit Estate,2003,150.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/211120
938,ARCHERY SUMMIT,Pinot Noir Willamette Valley Red Hills Estate,2003,75.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/204424
939,ARCHERY SUMMIT,Pinot Noir Yamhill-Carlton Shea Vineyard,2017,75.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/1268929
940,ARGYLE,Blanc de Blancs Dundee Hills Julia Lee's Block Knudsen Vineyard,2010,50.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/380203
941,ARGYLE,Blanc de Blancs Dundee Hills Knudsen Vineyard Artisan Series,2015,50.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/1269891
942,ARGYLE,Blanc de Blancs Dundee Hills Knudsen Vineyard Julia Lee's Block,2009,50.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/355497
943,ARGYLE,Blanc de Blancs Dundee Hills Knudsen Vineyard Julia Lee's Block,2008,50.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/333009
944,ARGYLE,Blanc de Blancs Dundee Hills Knudsen Vineyard Julia Lee's Block,2000,40.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/252576
945,ARGYLE,Brut Dundee Hills Knudsen Vineyard,2009,50.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/365533
946,ARGYLE,Brut Dundee Hills Knudsen Vineyard,2006,50.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/289636
947,ARGYLE,Brut Dundee Hills Knudsen Vineyard Artisan Series,2014,50.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/462322
948,ARGYLE,Brut Willamette Valley Extended Tirage Master Series,2006,75.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/440654
949,ARGYLE,Chardonnay Eola-Amity Hills Nuthouse Master Series,2015,40.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/443823
950,ARGYLE,Chardonnay Willamette Valley Nuthouse,2007,35.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/272346
951,ARGYLE,Chardonnay Willamette Valley Spirithouse,1998,30.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/91275
952,ARGYLE,Extended Tirage Disgorged on Demand Willamette Valley,1989,30.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/90478
953,ARGYLE,Pinot Noir Dundee Hills Spirithouse,2006,85.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/251167
954,ARGYLE,Pinot Noir Dundee Hills Spirithouse,2003,55.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/166651
955,ARGYLE,Pinot Noir Dundee Hills Spirithouse Master Series,2014,75.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/430056
956,ARGYLE,Pinot Noir Eola-Amity Hills Nuthouse Master Series Lone Star Vineyard,2012,50.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/380204
957,ARGYLE,Pinot Noir Willamette Valley Artisan Series Reserve,2018,40.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/1272767
958,ARGYLE,Pinot Noir Willamette Valley Artisan Series Reserve,2016,40.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/461578
959,ARGYLE,Pinot Noir Willamette Valley Artisan Series Reserve,2012,40.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/380205
960,ARGYLE,Pinot Noir Willamette Valley Clubhouse,2000,50.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/126991
961,ARGYLE,Pinot Noir Willamette Valley Nuthouse,2010,50.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/331823
962,ARGYLE,Pinot Noir Willamette Valley Nuthouse,2006,60.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/271867
963,ARGYLE,Pinot Noir Willamette Valley Nuthouse,2004,45.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/230705
964,ARGYLE,Pinot Noir Willamette Valley Nuthouse,2000,40.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/118354
965,ARGYLE,Pinot Noir Willamette Valley Nuthouse,1998,40.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/254357
966,ARGYLE,Pinot Noir Willamette Valley Reserve,2006,43.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/251168
967,ARGYLE,Pinot Noir Willamette Valley Spirithouse,2002,50.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/156181
968,ARTISANAL,Pinot Noir Willamette Valley Vintage Reserve,2012,42.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/405896
969,ARTISANAL,Pinot Noir Willamette Valley Vintage Reserve,2009,38.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/333011
970,ATTICUS,Pinot Noir Yamhill-Carlton District,2016,28.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/1228659
971,ATTICUS,Pinot Noir Yamhill-Carlton District Atticus Vineyard,2010,42.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/345583
972,AUBICHON,Pinot Noir Willamette Valley Reserve,2017,50.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/1231627
973,AUBICHON,Pinot Noir Willamette Valley Reserve,2012,45.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/378245
974,AUTEUR,Pinot Noir Willamette Valley,2008,60.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/291986
975,AUTEUR,Pinot Noir Willamette Valley Ophelia,2009,38.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/324344
976,AUTEUR,Pinot Noir Willamette Valley Shea Vineyard,2015,65.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/455873
977,AUTEUR,Pinot Noir Willamette Valley Shea Vineyard,2012,60.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/379784
978,AUTEUR,Pinot Noir Willamette Valley Shea Vineyard Back Block Reserve,2009,75.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/324345
979,AYOUB,Chardonnay Dundee Hills,2012,48.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/378474
980,AYOUB,Chardonnay Dundee Hills,2011,45.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/355499
981,AYOUB,Pinot Noir Dundee Hills,2005,45.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/218467
982,AYOUB,Pinot Noir Dundee Hills,2004,42.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/201634
983,AYOUB,Pinot Noir Dundee Hills Estate Vineyard,2014,60.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/424541
984,AYOUB,Pinot Noir Dundee Hills Estate Vineyard,2012,60.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/372191
985,AYOUB,Pinot Noir Dundee Hills Thistle Vineyard,2012,48.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/372192
986,AYOUB,Pinot Noir McMinnville Brittan Vineyard,2014,55.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/424542
987,AYOUB,Pinot Noir McMinnville Brittan Vineyard,2012,48.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/372193
988,AYOUB,Pinot Noir McMinnville Brittan Vineyard,2011,45.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/357887
989,AYOUB,Pinot Noir Willamette Valley Latifeh Single Barrel Reserve,2010,100.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/336542
990,AYOUB,Pinot Noir Yamhill-Carlton District Marsh Vineyard,2009,45.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/312902
991,BATTLE CREEK,Pinot Noir Willamette Valley Reserve,2014,26.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/424544
992,BEAUX FRÈRES,Pinot Noir Eola-Amity Hills Zena Crown,2013,75.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/404830
993,BEAUX FRÈRES,Pinot Noir Ribbon Ridge The Beaux Frères Vineyard,2007,80.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/407881
994,BEAUX FRÈRES,Pinot Noir Ribbon Ridge The Upper Terrace,2010,100.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/326652
995,BEAUX FRÈRES,Pinot Noir Ribbon Ridge The Upper Terrace,2005,90.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/218391
996,BEAUX FRÈRES,Pinot Noir Willamette Valley,2015,60.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/441001
997,BEAUX FRÈRES,Pinot Noir Willamette Valley,2013,60.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/405113
998,BEAUX FRÈRES,Pinot Noir Willamette Valley,1991,34.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/29685
999,BEAUX FRÈRES,Pinot Noir Willamette Valley The Beaux Frères Vineyard,2000,63.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/108359
1000,BEAUX FRÈRES,Pinot Noir Yamhill County Belles Soeurs Shea Vineyard,1998,40.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/254360
1001,BEAUX FRÈRES,Pinot Noir Yamhill County The Beaux Frères Vineyard,1998,70.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/407877
1002,BELLE VALLÉE,Pinot Noir Willamette Valley Reserve,2005,35.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/220253
1003,BENTON-LANE,Pinot Noir Willamette Valley First Class,2012,60.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/379771
1004,BENTON-LANE,Pinot Noir Willamette Valley First Class,2006,60.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/251169
1005,BENTON-LANE,Pinot Noir Willamette Valley First Class,2005,60.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/229584
1006,BERGSTRÖM,Chardonnay Willamette Valley Old Stones,2018,40.00,750,92.00,https://www.winespectator.com/wine/detail/source/search/note_id/1271795
