Index,Title,Producer,Region,AVA,Year,Rating,Price,Review,Links
248,Maysara 2015 Delara Pinot Noir (McMinnville),Maysara,WILLAMETTE VALLEY,McMinnville,2015,92,95,This is all Pommard clone from the oldest planting on the vineyard. ...,https://www.winemag.com/buying-guide/maysara-2015-delara-pinot-noir-mcminnville/
249,Domaine Serene 2017 Coeur Blanc Pinot Noir (Willamette Valley),Domaine Serene,WILLAMETTE VALLEY,Willamette Valley,2017,91,95,This is a barrel-fermented white wine produced entirely from Pinot Noir grapes. ...,https://www.winemag.com/buying-guide/domaine-serene-2017-coeur-blanc-pinot-noir-willamette-valley/
250,Alloro 2016 Estate Justina Pinot Noir (Chehalem Mountains),Alloro,WILLAMETTE VALLEY,Chehalem Mountains,2016,94,95,"Justina is the top wine for this estate, produced from a single ...",https://www.winemag.com/buying-guide/alloro-2016-estate-justina-pinot-noir-chehalem-mountains/
251,Roco 2016 Private Stash #14 Pinot Noir (Chehalem Mountains),Roco,WILLAMETTE VALLEY,Chehalem Mountains,2016,93,95,The winery's reserve is a barrel selection derived from the Wits' End ...,https://www.winemag.com/buying-guide/roco-2016-private-stash-14-pinot-noir-chehalem-mountains/
252,Domaine Serene 2016 Triple S Vineyard Pinot Noir (Dundee Hills),Domaine Serene,WILLAMETTE VALLEY,Dundee Hills,2016,94,95,"A bright baking-spice aroma instantly captures your attention, leading into high-toned raspberry ...",https://www.winemag.com/buying-guide/domaine-serene-2016-triple-s-vineyard-pinot-noir-dundee-hills/
253,Domaine Serene 2016 Two Barns Vineyard Pinot Noir (Dundee Hills),Domaine Serene,WILLAMETTE VALLEY,Dundee Hills,2016,93,95,"This fruit-driven wine shows berry, cherry and plum tones, yet as the ...",https://www.winemag.com/buying-guide/domaine-serene-2016-two-barns-vineyard-pinot-noir-dundee-hills/
254,Domaine Serene 2015 Jerusalem Hill Vineyard Pinot Noir (Eola-Amity Hills),Domaine Serene,WILLAMETTE VALLEY,Eola-Amity Hills,2015,93,95,"The sole Domaine Serene vineyard outside of the Dundee Hills, this sits ...",https://www.winemag.com/buying-guide/domaine-serene-2015-jerusalem-hill-vineyard-pinot-noir-eola-amity-hills-308075/
255,Bethel Heights 2015 The High Wire Chardonnay (Eola-Amity Hills),Bethel Heights,WILLAMETTE VALLEY,Eola-Amity Hills,2015,95,95,"This is from an old-vines Wente clone, planted in 1977. You'll notice ...",https://www.winemag.com/buying-guide/bethel-heights-2015-the-high-wire-chardonnay-eola-amity-hills-305833/
256,Domaine Serene 2016 Coeur Blanc White Heart Pinot Noir (Willamette Valley),Domaine Serene,WILLAMETTE VALLEY,Willamette Valley,2016,92,95,"A white wine produced from Pinot Noir grapes, this opens with a ...",https://www.winemag.com/buying-guide/domaine-serene-2016-coeur-blanc-white-heart-pinot-noir-willamette-valley-302168/
257,Domaine Serene 2015 Two Barns Vineyard Pinot Noir (Dundee Hills),Domaine Serene,WILLAMETTE VALLEY,Dundee Hills,2015,93,95,"This lush, compelling wine deftly mixes barrel spice notes with blackberry fruit. ...",https://www.winemag.com/buying-guide/domaine-serene-2015-two-barns-vineyard-pinot-noir-dundee-hills/
258,Domaine Serene 2014 Fleur de Lis Vineyard Pinot Noir (Dundee Hills),Domaine Serene,WILLAMETTE VALLEY,Dundee Hills,2014,93,95,"This starts out dense and tight, with compact seams of smoke, char, ...",https://www.winemag.com/buying-guide/domaine-serene-2014-fleur-de-lis-vineyard-pinot-noir-dundee-hills/
259,Roco 2015 Private Stash #13 Pinot Noir (Chehalem Mountains),Roco,WILLAMETTE VALLEY,Chehalem Mountains,2015,93,95,"The best Private Stash to date, this pumps up its strawberry and ...",https://www.winemag.com/buying-guide/roco-2015-private-stash-13-pinot-noir-chehalem-mountains/
260,Domaine Serene 2014 Jerusalem Hill Vineyard Pinot Noir (Eola-Amity Hills),Domaine Serene,WILLAMETTE VALLEY,Eola-Amity Hills,2014,93,95,Most Domaine Serene single-vineyard wines are grown right on the Dundee Hills ...,https://www.winemag.com/buying-guide/domaine-serene-2014-jerusalem-hill-vineyard-pinot-noir-eola-amity-hills/
261,Bergström 2015 Sigrid Chardonnay (Willamette Valley),Bergström,WILLAMETTE VALLEY,Willamette Valley,2015,94,95,"This succulent wine is saturated with rich citrus flavors. Grapefruit, lemon, lime ...",https://www.winemag.com/buying-guide/bergstrom-2015-sigrid-chardonnay-willamette-valley/
262,Bergström 2015 Bergström Vineyard Pinot Noir (Dundee Hills),Bergström,WILLAMETTE VALLEY,Dundee Hills,2015,94,95,"Sourced from the estate's original 1999 plantings, this is a chewy, majestic, ...",https://www.winemag.com/buying-guide/bergstrom-2015-bergstrom-vineyard-pinot-noir-dundee-hills/
263,Bethel Heights 2014 The High Wire Estate Chardonnay (Eola-Amity Hills),Bethel Heights,WILLAMETTE VALLEY,Eola-Amity Hills,2014,94,95,"The debut vintage for this cuvée, this is made from 100% Wente ...",https://www.winemag.com/buying-guide/bethel-heights-2014-the-high-wire-estate-chardonnay-eola-amity-hills/
264,Cayuse 2014 Impulsivo En Chamberlain Vineyard Tempranillo (Walla Walla Valley (OR)),Cayuse,OREGON OTHER,Walla Walla Valley,2014,93,95,"Alluring aromas of moist earth, cassis bud, olive, nori, pipe tobacco, charcoal, ...",https://www.winemag.com/buying-guide/cayuse-2014-impulsivo-en-chamberlain-vineyard-tempranillo-walla-walla-valley-or/
265,Cayuse 2014 Widowmaker En Chamberlain Vineyard Cabernet Sauvignon (Walla Walla Valley (OR)),Cayuse,OREGON OTHER,Walla Walla Valley,2014,93,95,"The aromas are expansive and mineral laden, with notes of earthy funk, ...",https://www.winemag.com/buying-guide/cayuse-2014-widowmaker-en-chamberlain-vineyard-cabernet-sauvignon-walla-walla-valley-or/
266,Adelsheim 2014 Winderlea Vineyard Pinot Noir (Dundee Hills),Adelsheim,WILLAMETTE VALLEY,Dundee Hills,2014,93,95,Winderlea is the most limited and most expensive of the winery's single ...,https://www.winemag.com/buying-guide/adelsheim-2014-winderlea-vineyard-pinot-noir-dundee-hills/
267,Cayuse 2014 Flying Pig Red (Walla Walla Valley (OR)),Cayuse,OREGON OTHER,Walla Walla Valley,2014,91,95,"A blend of Merlot (50%), Cabernet Franc (40%) and Cabernet Sauvignon (10%), ...",https://www.winemag.com/buying-guide/cayuse-2014-flying-pig-red-walla-walla-valley-or/
268,Domaine Serene 2015 Coeur Blanc (White Heart) Pinot Noir (Willamette Valley),Domaine Serene,WILLAMETTE VALLEY,Willamette Valley,2015,92,95,This was the first winery to make a truly white Pinot Noir ...,https://www.winemag.com/buying-guide/domaine-serene-2015-coeur-blanc-white-heart-pinot-noir-willamette-valley/
269,Domaine Serene 2014 Coeur Blanc Pinot Noir (Willamette Valley),Domaine Serene,WILLAMETTE VALLEY,Willamette Valley,2014,94,95,"A barrel-fermented white Pinot Noir, this is bursting with broad, creamy flavors ...",https://www.winemag.com/buying-guide/domaine-serene-2014-coeur-blanc-pinot-noir-willamette-valley/
270,Rasa 2012 Fiachetto XL Vineyard Red (Walla Walla Valley (OR)),Rasa,OREGON OTHER,Walla Walla Valley,2012,93,95,This wine—the first vineyard-designate to come out of this young site—is 51% ...,https://www.winemag.com/buying-guide/rasa-2012-fiachetto-xl-vineyard-red-other-walla-walla-valley-or/
271,Cayuse 2011 Bionic Frog Syrah (Walla Walla Valley (OR)),Cayuse,OREGON OTHER,Walla Walla Valley,2011,93,95,Long-time admirers of this wine may find the 2011 version a bit ...,https://www.winemag.com/buying-guide/cayuse-2011-bionic-frog-shiraz-syrah-syrah-other-walla-walla-valley-or/
272,Shea 2017 Shea Vineyard Homer Pinot Noir (Willamette Valley),Shea,WILLAMETTE VALLEY,Willamette Valley,2017,94,92,"Homer is the winery's barrel-selection reserve: a full-bodied, full-flavored compendium of two ...",https://www.winemag.com/buying-guide/shea-2017-shea-vineyard-homer-pinot-noir-willamette-valley/
273,Shea 2016 Shea Vineyard Homer Pinot Noir (Willamette Valley),Shea,WILLAMETTE VALLEY,Willamette Valley,2016,94,92,"This reserve wine offers tones of ripe raspberry and cherry fruit, with ...",https://www.winemag.com/buying-guide/shea-2016-shea-vineyard-homer-pinot-noir-willamette-valley/
274,Shea 2015 Homer Pinot Noir (Willamette Valley),Shea,WILLAMETTE VALLEY,Willamette Valley,2015,94,92,"Homer is the winery's top barrel selection reserve, aged in 71% new ...",https://www.winemag.com/buying-guide/shea-2015-homer-pinot-noir-willamette-valley/
275,Shea 2014 Shea Vineyard Homer Pinot Noir (Willamette Valley),Shea,WILLAMETTE VALLEY,Willamette Valley,2014,95,92,Homer is the winery's top level reserve cuvée. Aromatic and complete in ...,https://www.winemag.com/buying-guide/shea-2014-shea-vineyard-homer-pinot-noir-willamette-valley/
276,Chapter 24 2017 The Last Chapter Pinot Noir (Willamette Valley),Chapter 24,WILLAMETTE VALLEY,Willamette Valley,2017,91,91,"Lightly funky with leather and mocha highlights, this wine is focused on ...",https://www.winemag.com/buying-guide/chapter-24-2017-the-last-chapter-pinot-noir-willamette-valley/
277,Granville 2018 Louie Pinot Noir (Dundee Hills),Granville,WILLAMETTE VALLEY,Dundee Hills,2018,92,90,"Louie is the estate reserve bottling, sourced from the Holstein Vineyard. It's ...",https://www.winemag.com/buying-guide/granville-2018-louie-pinot-noir-dundee-hills/
278,Lingua Franca 2018 Sisters Chardonnay (Willamette Valley),Lingua Franca,WILLAMETTE VALLEY,Willamette Valley,2018,94,90,"This latest bottling is more broadly sourced than previous vintages, including some ...",https://www.winemag.com/buying-guide/lingua-franca-2018-sisters-chardonnay-willamette-valley/
279,Lingua Franca 2018 Mimi's Mind Pinot Noir (Eola-Amity Hills),Lingua Franca,WILLAMETTE VALLEY,Eola-Amity Hills,2018,94,90,Mimi Casteel's Hopewell Vineyard is the source for this complex and detailed ...,https://www.winemag.com/buying-guide/lingua-franca-2018-mimis-mind-pinot-noir-eola-amity-hills/
280,Archery Summit 2018 Whole Cluster Cuvée Pinot Noir (Dundee Hills),Archery Summit,WILLAMETTE VALLEY,Dundee Hills,2018,93,90,"Pretty scents of cranberry and raspberry fruit, spiced with a sprinkle of ...",https://www.winemag.com/buying-guide/archery-summit-2018-whole-cluster-cuvee-pinot-noir-dundee-hills/
281,Archery Summit 2018 Renegade Ridge Vineyard Pinot Noir (Dundee Hills),Archery Summit,WILLAMETTE VALLEY,Dundee Hills,2018,93,90,"This is a beautifully fragrant wine, scented with crushed roses, tea and ...",https://www.winemag.com/buying-guide/archery-summit-2018-renegade-ridge-vineyard-pinot-noir-dundee-hills/
282,Archery Summit 2018 Archer's Edge Vineyard Pinot Noir (Dundee Hills),Archery Summit,WILLAMETTE VALLEY,Dundee Hills,2018,91,90,This particular vineyard seems predisposed to bringing out the herbal side of ...,https://www.winemag.com/buying-guide/archery-summit-2018-archers-edge-vineyard-pinot-noir-dundee-hills/
283,Nicolas-Jay 2017 Momtazi Pinot Noir (McMinnville),Nicolas-Jay,WILLAMETTE VALLEY,McMinnville,2017,93,90,"Many wineries purchase and feature Momtazi grapes, but this wine, more than ...",https://www.winemag.com/buying-guide/nicolas-jay-2017-momtazi-pinot-noir-mcminnville/
284,Cayuse 2017 Camaspelo Red (Walla Walla Valley (OR)),Cayuse,OREGON OTHER,Walla Walla Valley,2017,93,90,"Appealing aromas of green pepper, cherry, fresh herb, saline and moist earth ...",https://www.winemag.com/buying-guide/cayuse-2017-camaspelo-red-walla-walla-valley-or/
285,Cayuse 2017 En Cerise Vineyard Syrah (Walla Walla Valley (OR)),Cayuse,OREGON OTHER,Walla Walla Valley,2017,93,90,"The aromas are quite reserved for this producer, with notes of flower, ...",https://www.winemag.com/buying-guide/cayuse-2017-en-cerise-vineyard-syrah-walla-walla-valley-or/
286,Cayuse 2017 En Chamberlain Vineyard Syrah (Walla Walla Valley (OR)),Cayuse,OREGON OTHER,Walla Walla Valley,2017,93,90,"The aromas jump out of the glass, with notes of earthy funk, ...",https://www.winemag.com/buying-guide/cayuse-2017-en-chamberlain-vineyard-syrah-walla-walla-valley-or/
287,Cayuse 2017 Cailloux Vineyard Syrah (Walla Walla Valley (OR)),Cayuse,OREGON OTHER,Walla Walla Valley,2017,92,90,"Coming from the estate's first vineyard planted in 1997, the aromas are ...",https://www.winemag.com/buying-guide/cayuse-2017-cailloux-vineyard-syrah-walla-walla-valley-or/
288,Fullerton 2017 Tenebris Pinot Noir (Willamette Valley),Fullerton,WILLAMETTE VALLEY,Willamette Valley,2017,91,90,This interesting blend uses one barrel each from four of the single-vineyard ...,https://www.winemag.com/buying-guide/fullerton-2017-tenebris-pinot-noir-willamette-valley/
289,Domaine Serene 2017 Abbey Oaks Vineyard Pinot Noir (Yamhill-Carlton),Domaine Serene,WILLAMETTE VALLEY,Yamhill-Carlton,2017,92,90,Abbey Oaks is the sole estate vineyard not in the Dundee Hills ...,https://www.winemag.com/buying-guide/domaine-serene-2017-abbey-oaks-vineyard-pinot-noir-yamhill-carlton/
290,Lingua Franca 2017 Sisters Chardonnay (Eola-Amity Hills),Lingua Franca,WILLAMETTE VALLEY,Eola-Amity Hills,2017,93,90,"This reserve-level wine honors founder Larry Stone's mother and her sister, whose ...",https://www.winemag.com/buying-guide/lingua-franca-2017-sisters-chardonnay-eola-amity-hills/
291,Lingua Franca 2017 Mimi's Mind Pinot Noir (Eola-Amity Hills),Lingua Franca,WILLAMETTE VALLEY,Eola-Amity Hills,2017,93,90,"Mimi Casteel is the grower for these grapes, as the name suggests. ...",https://www.winemag.com/buying-guide/lingua-franca-2017-mimis-mind-pinot-noir-eola-amity-hills/
292,Archery Summit 2017 Renegade Ridge Vineyard Pinot Noir (Dundee Hills),Archery Summit,WILLAMETTE VALLEY,Dundee Hills,2017,92,90,"Pretty strawberry and cherry fruit fills the palate, along with a note ...",https://www.winemag.com/buying-guide/archery-summit-2017-renegade-ridge-vineyard-pinot-noir-dundee-hills/
293,Archery Summit 2017 Archer's Edge Vineyard Pinot Noir (Dundee Hills),Archery Summit,WILLAMETTE VALLEY,Dundee Hills,2017,91,90,"Peppery, brambly berry fruit anchors this single-vineyard selection. The flavors darken through ...",https://www.winemag.com/buying-guide/archery-summit-2017-archers-edge-vineyard-pinot-noir-dundee-hills/
294,Cayuse 2016 En Chamberlain Vineyard Syrah (Walla Walla Valley (OR)),Cayuse,OREGON OTHER,Walla Walla Valley,2016,97,90,"The aromas are exuberant, with a seemingly endless list of savory notes ...",https://www.winemag.com/buying-guide/cayuse-2016-en-chamberlain-vineyard-syrah-walla-walla-valley-or/
295,Cayuse 2016 En Cerise Vineyard Syrah (Walla Walla Valley (OR)),Cayuse,OREGON OTHER,Walla Walla Valley,2016,97,90,"This wine displays an overt sense of funkiness out of the gate, ...",https://www.winemag.com/buying-guide/cayuse-2016-en-cerise-vineyard-syrah-walla-walla-valley-or/
296,Cayuse 2016 Cailloux Vineyard Syrah (Walla Walla Valley (OR)),Cayuse,OREGON OTHER,Walla Walla Valley,2016,95,90,"Aromas of peeled orange, fresh flower, ground black pepper, bacon fat, potpourri, ...",https://www.winemag.com/buying-guide/cayuse-2016-cailloux-vineyard-syrah-walla-walla-valley-or/
297,Domaine Serene 2016 Abbey Oaks Vineyard Pinot Noir (Yamhill-Carlton),Domaine Serene,WILLAMETTE VALLEY,Yamhill-Carlton,2016,92,90,A bit more herbal and earthy than the rest of the winery's ...,https://www.winemag.com/buying-guide/domaine-serene-2016-abbey-oaks-vineyard-pinot-noir-yamhill-carlton/
298,Cayuse 2016 Camaspelo Red (Walla Walla Valley (OR)),Cayuse,OREGON OTHER,Walla Walla Valley,2016,91,90,"The aromas are subdued out of the gate, with notes of earth, ...",https://www.winemag.com/buying-guide/cayuse-2016-camaspelo-red-walla-walla-valley-or/
299,Nicolas-Jay 2016 Momtazi Pinot Noir (McMinnville),Nicolas-Jay,WILLAMETTE VALLEY,McMinnville,2016,91,90,"The vineyard's biodynamic farming adds interesting earthy, peat moss highlights to the ...",https://www.winemag.com/buying-guide/nicolas-jay-2016-momtazi-pinot-noir-mcminnville/
300,Nicolas-Jay 2016 Nysa Pinot Noir (Dundee Hills),Nicolas-Jay,WILLAMETTE VALLEY,Dundee Hills,2016,91,90,A glass of this young wine is like a hike up a ...,https://www.winemag.com/buying-guide/nicolas-jay-2016-nysa-pinot-noir-dundee-hills/
301,Archery Summit 2016 Renegade Ridge Vineyard Pinot Noir (Dundee Hills),Archery Summit,WILLAMETTE VALLEY,Dundee Hills,2016,91,90,Pretty cherry and blackberry fruit highlights this palate-pleasing wine. Three-fifths was whole-cluster ...,https://www.winemag.com/buying-guide/archery-summit-2016-renegade-ridge-vineyard-pinot-noir-dundee-hills/
302,Archery Summit 2016 Archer's Edge Vineyard Pinot Noir (Dundee Hills),Archery Summit,WILLAMETTE VALLEY,Dundee Hills,2016,91,90,"Not as ripe or concentrated as in 2015, this is a tight, ...",https://www.winemag.com/buying-guide/archery-summit-2016-archers-edge-vineyard-pinot-noir-dundee-hills/
303,Pfeiffer 2015 Robin's Romance Blue Dot Reserve Pinot Noir (Willamette Valley),Pfeiffer,WILLAMETTE VALLEY,Willamette Valley,2015,88,90,"Aging quickly and drinking well, this follows the winery's usual course with ...",https://www.winemag.com/buying-guide/pfeiffer-2015-robins-romance-blue-dot-reserve-pinot-noir-willamette-valley/
304,Archery Summit 2015 Looney Vineyard Pinot Noir (Ribbon Ridge),Archery Summit,WILLAMETTE VALLEY,Ribbon Ridge,2015,94,90,This nonestate vineyard allows the winery to play with outstanding grapes from ...,https://www.winemag.com/buying-guide/archery-summit-2015-looney-vineyard-pinot-noir-ribbon-ridge/
305,Archery Summit 2015 Archer's Edge Vineyard Pinot Noir (Dundee Hills),Archery Summit,WILLAMETTE VALLEY,Dundee Hills,2015,93,90,"This vineyard, planted in 2007, is still delivering young, fresh and fruity ...",https://www.winemag.com/buying-guide/archery-summit-2015-archers-edge-vineyard-pinot-noir-dundee-hills/
306,Domaine Serene 2015 Abbey Oaks Vineyard Pinot Noir (Yamhill-Carlton),Domaine Serene,WILLAMETTE VALLEY,Yamhill-Carlton,2015,92,90,"This is the winery's only vineyard outside of the Dundee Hills AVA, ...",https://www.winemag.com/buying-guide/domaine-serene-2015-abbey-oaks-vineyard-pinot-noir-yamhill-carlton-302171/
307,Domaine Serene 2014 Abbey Oaks Vineyard Pinot Noir (Yamhill-Carlton),Domaine Serene,WILLAMETTE VALLEY,Yamhill-Carlton,2014,95,90,"This is the winery's only non-Dundee Hills bottling, and it brings aromatic ...",https://www.winemag.com/buying-guide/domaine-serene-2014-abbey-oaks-vineyard-pinot-noir/
308,Lingua Franca 2015 Sisters Chardonnay (Willamette Valley),Lingua Franca,WILLAMETTE VALLEY,Willamette Valley,2015,94,90,"Lingua Franca's Sisters bottling is tight and firm, with buttery apple flavors ...",https://www.winemag.com/buying-guide/lingua-franca-2015-sisters-chardonnay-willamette-valley/
309,Domaine Serene 2014 Triple S Vineyard Pinot Noir (Dundee Hills),Domaine Serene,WILLAMETTE VALLEY,Dundee Hills,2014,93,90,This new offering from purchased grapes is a doozy. Loaded with dried ...,https://www.winemag.com/buying-guide/domaine-serene-2014-triple-s-vineyard-pinot-noir-dundee-hills/
310,Lingua Franca 2015 Mimi's Mind Pinot Noir (Eola-Amity Hills),Lingua Franca,WILLAMETTE VALLEY,Eola-Amity Hills,2015,93,90,"Mimi Casteel is the grower, hence the cuvée name. A full 70% ...",https://www.winemag.com/buying-guide/lingua-franca-2015-mimis-mind-pinot-noir-eola-amity-hills/
311,Purple Hands 2015 Le Nouveau Monde Pinot Noir (Oregon),Purple Hands,OREGON OTHER,Oregon,2015,91,90,"A barrel selection aged in three-quarters new oak, this is nonetheless surprisingly ...",https://www.winemag.com/buying-guide/purple-hands-2015-le-nouveau-monde-pinot-noir-oregon/
312,Bergström 2014 Sigrid Chardonnay (Willamette Valley),Bergström,WILLAMETTE VALLEY,Willamette Valley,2014,95,90,"First made in 2006, this succulent luscious Chardonnay is all about minerality. ...",https://www.winemag.com/buying-guide/bergstrom-2014-sigrid-chardonnay-willamette-valley/
313,Bergström 2014 Bergström Vineyard Pinot Noir (Dundee Hills),Bergström,WILLAMETTE VALLEY,Dundee Hills,2014,94,90,The estate's 13 acres were first planted in 1999. This lovely wine ...,https://www.winemag.com/buying-guide/bergstrom-2014-bergstrom-vineyard-pinot-noir-dundee-hills/
314,Domaine Serene 2014 Two Barns Vineyard Pinot Noir (Dundee Hills),Domaine Serene,WILLAMETTE VALLEY,Dundee Hills,2014,94,90,"Aromatically compelling, this offers a complex mix of clover, chocolate and cherry ...",https://www.winemag.com/buying-guide/domaine-serene-2014-two-barns-vineyard-pinot-noir-dundee-hills/
315,Nicolas-Jay 2014 Nysa Pinot Noir (Dundee Hills),Nicolas-Jay,WILLAMETTE VALLEY,Dundee Hills,2014,94,90,Fruit from this high-profile vineyard builds a velvety silky seductive wine that ...,https://www.winemag.com/buying-guide/nicolas-jay-2014-nysa-pinot-noir-dundee-hills/
316,Domaine Serene 2013 Gold Eagle Vineyard Pinot Noir (Dundee Hills),Domaine Serene,WILLAMETTE VALLEY,Dundee Hills,2013,93,90,"This cuvée quickly finds its deep core of cherry fruit, pleasingly annotated ...",https://www.winemag.com/buying-guide/domaine-serene-2013-gold-eagle-vineyard-pinot-noir-dundee-hills/
317,Domaine Serene 2013 Côte Sud Vineyard Pinot Noir (Dundee Hills),Domaine Serene,WILLAMETTE VALLEY,Dundee Hills,2013,92,90,Immaculate flavors of raspberries and Bing cherries are set in a well-structured ...,https://www.winemag.com/buying-guide/domaine-serene-2013-cote-sud-vineyard-pinot-noir-dundee-hills/
318,Domaine Serene 2013 Jerusalem Hill Vineyard Pinot Noir (Willamette Valley),Domaine Serene,WILLAMETTE VALLEY,Willamette Valley,2013,92,90,"Though labeled simply Willamette Valley, the vineyard is set in the Eola ...",https://www.winemag.com/buying-guide/domaine-serene-2013-jerusalem-hill-vineyard-pinot-noir-willamette-valley/
319,Domaine Serene 2013 Winery Hill Vineyard Pinot Noir (Dundee Hills),Domaine Serene,WILLAMETTE VALLEY,Dundee Hills,2013,93,90,"As with its companion releases, the inviting aromatics capture your attention. On ...",https://www.winemag.com/buying-guide/domaine-serene-2013-winery-hill-vineyard-pinot-noir-dundee-hills/
320,Domaine Serene 2013 Fleur de Lis Vineyard Pinot Noir (Dundee Hills),Domaine Serene,WILLAMETTE VALLEY,Dundee Hills,2013,92,90,"This is smooth and open, a mix of fresh cranberry and raspberry ...",https://www.winemag.com/buying-guide/domaine-serene-2013-fleur-de-lis-vineyard-pinot-noir-dundee-hills/
321,Domaine Serene 2013 Two Barns Vineyard Pinot Noir (Dundee Hills),Domaine Serene,WILLAMETTE VALLEY,Dundee Hills,2013,92,90,"Appealing complexities appear right from the first sniff, with a mix of ...",https://www.winemag.com/buying-guide/domaine-serene-2013-two-barns-vineyard-pinot-noir-dundee-hills/
322,Domaine Serene 2012 Fleur de Lis Vineyard Pinot Noir (Dundee Hills),Domaine Serene,WILLAMETTE VALLEY,Dundee Hills,2012,94,90,"Bright cranberry and cherry fruit bursts out of the glass, beautifully ripe ...",https://www.winemag.com/buying-guide/domaine-serene-2012-fleur-de-lis-vineyard-pinot-noir-dundee-hills/
323,Domaine Serene 2012 Winery Hill Vineyard Pinot Noir (Dundee Hills),Domaine Serene,WILLAMETTE VALLEY,Dundee Hills,2012,94,90,"Lush aromatics feature sassafras, strawberry pastry and milk chocolate. This forward, seductive ...",https://www.winemag.com/buying-guide/domaine-serene-2012-winery-hill-vineyard-pinot-noir-dundee-hills/
324,Domaine Serene 2012 Côte Sud Vineyard Pinot Noir (Dundee Hills),Domaine Serene,WILLAMETTE VALLEY,Dundee Hills,2012,93,90,This vineyard is the oldest estate vineyard. In 2012 the fruit attained ...,https://www.winemag.com/buying-guide/domaine-serene-2012-cote-sud-vineyard-pinot-noir-dundee-hills/
325,Domaine Serene 2012 Jerusalem Hill Pinot Noir (Willamette Valley),Domaine Serene,WILLAMETTE VALLEY,Willamette Valley,2012,92,90,This Pinot is from the winery's only Eola-Amity Hills AVA vineyard. The ...,https://www.winemag.com/buying-guide/domaine-serene-2012-jerusalem-hill-pinot-noir-willamette-valley/
326,Domaine Serene 2012 Jerusalem Hill Pinot Noir (Willamette Valley),Domaine Serene,WILLAMETTE VALLEY,Willamette Valley,2012,92,90,This Pinot is from the winery's only Eola-Amity Hills AVA vineyard. The ...,https://www.winemag.com/buying-guide/domaine-serene-2012-jerusalem-hill-pinot-noir-willamette-valley/
327,Domaine Serene 2012 Two Barns Pinot Noir (Dundee Hills),Domaine Serene,WILLAMETTE VALLEY,Dundee Hills,2012,91,90,"Broad berry/cherry fruit flavors open up quickly, with lighter accents of compost ...",https://www.winemag.com/buying-guide/domaine-serene-2012-two-barns-pinot-noir-dundee-hills/
328,Cayuse 2011 Widowmaker En Chamberlin Vineyard Cabernet Sauvignon (Walla Walla Valley (OR)),Cayuse,OREGON OTHER,Walla Walla Valley,2011,97,90,"This glorious, evocative wine calls up a rich and sensuous catalog of ...",https://www.winemag.com/buying-guide/cayuse-2011-widowmaker-en-chamberlin-vineyard-cabernet-sauvignon-other-walla-walla-valley-or/
329,Cayuse 2011 Cailloux Vineyard Syrah (Walla Walla Valley (OR)),Cayuse,OREGON OTHER,Walla Walla Valley,2011,96,90,"Violet blossoms and orange peel aromatics jump out, followed by scents and ...",https://www.winemag.com/buying-guide/cayuse-2011-cailloux-vineyard-shiraz-syrah-syrah-other-walla-walla-valley-or/
330,Cayuse 2011 Armada Vineyard God Only Knows Grenache (Walla Walla Valley (OR)),Cayuse,OREGON OTHER,Walla Walla Valley,2011,96,90,"Intensely aromatic, this carries a wealth of layered flavors consistent with past ...",https://www.winemag.com/buying-guide/cayuse-2011-armada-vineyard-god-only-knows-grenache-other-walla-walla-valley-or/
331,Cayuse 2011 En Cerise Vineyard Flying Pig Red (Walla Walla Valley (OR)),Cayuse,OREGON OTHER,Walla Walla Valley,2011,94,90,The blend on this Claret-style red is a bit different this year—half ...,https://www.winemag.com/buying-guide/cayuse-2011-en-cerise-vineyard-flying-pig-red-other-walla-walla-valley-or/
332,Cayuse 2011 Impulsivo En Chamberlin Vineyard Tempranillo (Walla Walla Valley (OR)),Cayuse,OREGON OTHER,Walla Walla Valley,2011,94,90,"Beefy and broad, this offers up the aromas of a rich stew, ...",https://www.winemag.com/buying-guide/cayuse-2011-impulsivo-en-chamberlin-vineyard-tempranillo-other-walla-walla-valley-or/
333,Cayuse 2011 The Lovers Red (Walla Walla Valley (OR)),Cayuse,OREGON OTHER,Walla Walla Valley,2011,93,90,"Just the second vintage for this Cab/Syrah blend, it sets its umami-soaked ...",https://www.winemag.com/buying-guide/cayuse-2011-lovers-red-other-walla-walla-valley-or/
334,Cayuse 2011 Armada Vineyard Syrah (Walla Walla Valley (OR)),Cayuse,OREGON OTHER,Walla Walla Valley,2011,93,90,"On display are the requisite Cayuse flavors of funk, savory herb and ...",https://www.winemag.com/buying-guide/cayuse-2011-armada-vineyard-shiraz-syrah-syrah-other-walla-walla-valley-or/
335,Domaine Serene 2011 Jerusalem Hill Pinot Noir (Willamette Valley),Domaine Serene,WILLAMETTE VALLEY,Willamette Valley,2011,92,90,"Consistent with the winery's excellent lineup of 2011's, this is an elegant ...",https://www.winemag.com/buying-guide/domaine-serene-2011-jerusalem-hill-pinot-noir-willamette-valley/
336,Domaine Serene 2011 Two Barns Vineyard Pinot Noir (Dundee Hills),Domaine Serene,WILLAMETTE VALLEY,Dundee Hills,2011,92,90,"Dark fruits, notably blackberry and black cherry, are hallmarks of this low-elevation, ...",https://www.winemag.com/buying-guide/domaine-serene-2011-two-barns-vineyard-pinot-noir-willamette-valley-dundee-hills/
